fecha,clave,tipo,origen,destino,vuelta_desde,ida,vuelta,grupo,orden,corredor,via,aerolineas,vuelos,salida,llegada,duracion_min,n_escalas,precio,extensiones
2026-09-16,RT-SCL-OPO-20270710-20270731,RT,SCL,OPO,OPO,2027-07-10,2027-07-31,otro,1,madrid,MAD,LATAM / Air Europa,LA 706 · UX 1147,2027-07-10 18:00,2027-07-12 06:45,1905,1,3167331,
2026-09-16,RT-SCL-OPO-20270710-20270731,RT,SCL,OPO,OPO,2027-07-10,2027-07-31,otro,2,brasil,GRU-MAD,LATAM / Air Europa,LA 8155 · LA 8076 · UX 1141,2027-07-10 15:50,2027-07-11 19:20,1350,2,3174972,
2026-09-16,RT-SCL-OPO-20270710-20270731,RT,SCL,OPO,OPO,2027-07-10,2027-07-31,otro,3,madrid,MAD,LATAM / Iberia,LA 706 · IB 1151,2027-07-10 18:00,2027-07-11 16:00,1020,1,3687738,
2026-09-16,RT-SCL-OPO-20270710-20270731,RT,SCL,OPO,OPO,2027-07-10,2027-07-31,otro,4,brasil,GRU-IST,Turkish Airlines,TK 216 · TK 216 · TK 1451,2027-07-10 10:15,2027-07-11 15:40,1465,2,4201383,
2026-09-16,RT-SCL-OPO-20270710-20270731,RT,SCL,OPO,OPO,2027-07-10,2027-07-31,otro,5,lima,LIM-MAD,LATAM / Iberia,LA 2412 · LA 2484 · IB 1153,2027-07-10 18:00,2027-07-11 20:00,1260,2,4949772,
2026-09-16,RT-SCL-OPO-20270710-20270731,RT,SCL,OPO,OPO,2027-07-10,2027-07-31,otro,6,otra,BOG-YUL,Avianca / Air Canada,AV 240 · AC 99 · AC 928,2027-07-10 00:30,2027-07-11 10:00,1710,2,5603399,
2026-09-16,RT-SCL-OPO-20270710-20270731,RT,SCL,OPO,OPO,2027-07-10,2027-07-31,otro,7,otra,EZE-AMS,KLM,KL 702 · KL 702 · KL 1573,2027-07-10 10:15,2027-07-11 15:30,1455,2,6019719,
2026-09-16,RT-SCL-LIS-20270710-20270731,RT,SCL,LIS,LIS,2027-07-10,2027-07-31,mejor,0,madrid,MAD,Iberia,IB 114 · IB 539,2027-07-10 23:20,2027-07-11 23:25,1145,1,3185934,
2026-09-16,RT-SCL-LIS-20270710-20270731,RT,SCL,LIS,LIS,2027-07-10,2027-07-31,mejor,1,madrid,MAD,Iberia,IB 114 · IB 1145,2027-07-10 23:20,2027-07-11 20:05,945,1,3276654,
2026-09-16,RT-SCL-LIS-20270710-20270731,RT,SCL,LIS,LIS,2027-07-10,2027-07-31,mejor,2,brasil,GRU,LATAM,LA 8155 · LA 8148,2027-07-10 15:50,2027-07-11 12:20,930,1,3482262,
2026-09-16,RT-SCL-LIS-20270710-20270731,RT,SCL,LIS,LIS,2027-07-10,2027-07-31,otro,0,madrid,MAD,Iberia,IB 118 · IB 535,2027-07-10 11:40,2027-07-11 18:25,1545,1,3276654,
2026-09-16,RT-SCL-LIS-20270710-20270731,RT,SCL,LIS,LIS,2027-07-10,2027-07-31,otro,1,madrid,MAD,Iberia,IB 118 · IB 531,2027-07-10 11:40,2027-07-11 11:50,1150,1,3640479,
2026-09-16,RT-SCL-LIS-20270710-20270731,RT,SCL,LIS,LIS,2027-07-10,2027-07-31,otro,2,brasil,GRU,LATAM,LA 762 · LA 8146,2027-07-10 07:35,2027-07-11 07:10,1115,1,3867822,
2026-09-16,RT-SCL-LIS-20270710-20270731,RT,SCL,LIS,LIS,2027-07-10,2027-07-31,otro,3,brasil,GRU,LATAM,LA 750 · LA 8146,2027-07-10 11:30,2027-07-11 07:10,880,1,4148487,
2026-09-16,RT-SCL-LIS-20270710-20270731,RT,SCL,LIS,LIS,2027-07-10,2027-07-31,otro,4,brasil,GRU,LATAM,LA 714 · LA 8148,2027-07-10 15:55,2027-07-11 12:20,925,1,4148487,
2026-09-16,RT-SCL-LIS-20270710-20270731,RT,SCL,LIS,LIS,2027-07-10,2027-07-31,otro,5,brasil,GRU-IST,Turkish Airlines,TK 216 · TK 216 · TK 1759,2027-07-10 10:15,2027-07-11 15:50,1475,2,4366341,
2026-09-16,RT-SCL-LIS-20270710-20270731,RT,SCL,LIS,LIS,2027-07-10,2027-07-31,otro,6,brasil,GRU,LATAM,LA 762 · LA 8148,2027-07-10 07:35,2027-07-11 12:20,1425,1,5273814,
2026-09-16,RT-SCL-LIS-20270710-20270731,RT,SCL,LIS,LIS,2027-07-10,2027-07-31,otro,7,brasil,GRU,LATAM,LA 8153 · LA 8146,2027-07-10 04:45,2027-07-11 07:10,1285,1,5554479,
2026-09-16,RT-SCL-LIS-20270710-20270731,RT,SCL,LIS,LIS,2027-07-10,2027-07-31,otro,8,madrid,MAD-LHR,Iberia / British Airways,IB 118 · BA 457 · BA 504,2027-07-10 11:40,2027-07-11 16:20,1420,2,6176150,
2026-09-16,RT-SCL-LIS-20270710-20270731,RT,SCL,LIS,LIS,2027-07-10,2027-07-31,otro,9,otra,EZE-AMS,KLM,KL 702 · KL 702 · KL 1583,2027-07-10 10:15,2027-07-11 14:35,1400,2,6941571,
2026-09-16,RT-SCL-LIS-20270710-20270731,RT,SCL,LIS,LIS,2027-07-10,2027-07-31,otro,10,paris,CDG,Air France,AF 407 · AF 1024,2027-07-10 10:10,2027-07-11 11:15,1205,1,7467534,
2026-09-16,RT-SCL-OPO-20270710-20270801,RT,SCL,OPO,OPO,2027-07-10,2027-08-01,otro,0,madrid,MAD,Iberia,IB 118 · IB 543,2027-07-10 11:40,2027-07-11 07:40,900,1,2880222,"Vuelta verificada: IB 544 · IB 113, sale 2027-08-01 08:20, llega 2027-08-01 21:40"
